9CA80F98, AbortTradeMessage
6DFD018A, SwooshAppearance
7B2B86C1, SwooshAppearanceTemplate
5FE249EF, SystemVertexBuffer
976E8B2E, TailFileLogObserver
C6D21E8C, TangibleObject
2059BAB, TargaFormat
7EC15106, TargetPitchTransformModifier
E30E5BE0, TaskConnection
4EFAE8C4, TemporaryAttachedObjectAction
A753ABF, TemporaryAttachedObjectActionTemplate
8D06E7CE, TemporaryCrcString
9DD08BDF, TerrainAppearance
85E2E3D9, TerrainObject
7C7CD70, TestIoWin
BD391642, TextAppearance
AAB935D2, TextureGraphicsData
6D7F508F, TextureRenderer
87767197, TextureRendererShaderPrimitive
DC408875, TextureRendererTemplate
B3975708, ThirdPersonStage
5F3CEC09, ThrowSwordAction
AD88E8E9, ThrowSwordActionTemplate
3668914C, TimedBlendSkeletalAnimation
BAF8C6BB, TimeOfDayTest
9E7BA6BE, TimerObject
4882C607, TimerPlaybackAction
252C0A24, TimerPlaybackActionTemplate
96B0B0BF, TimeScaleSkeletalAnimation
6ED9F23F, TimeScaleSkeletalAnimationTemplate
B39925AC, TrackAnimationController
C2906B98, TrackingDynamics
77E634F5, TrackingProjectile
C542038B, TradeCompleteMessage
424BDCFF, TrailAppearance
3D811251, TransformAnimationController
BFC6BEB3, TransformModifier
80EF4ADA, TransformNameMap
B021A018, TriggerVolumeParam
257CEA4D, TurretObject
A9FCE4E1, Tweakable
E81E4382, UnAcceptTransactionMessage
2E74722, Universe
FFA0E14B, UniverseObject
F612499C, UpdateCellPermissionMessage
56CBDE9E, UpdateContainmentMessage
1228CD01, UpdateMissileMessage
8A1C126, UpdatePvpStatusMessage
1B24F808, UpdateTransformMessage
C867AB5A, UpdateTransformWithParentMessage
8C5A6BE2, UseLightningAction
A61A0E7D, UseLightningActionTemplate
E6C85CFB, VectorParam
DC7E3FB0, VehicleHoverDynamics
C5319BF3, VehicleHoverDynamicsClient
1843B7EE, VehicleObject
BB8CAD45, VerifyPlayerNameMessage
F4C498FD, VerifyPlayerNameResponseMessage
9AE247EE, VerifyTradeMessage
A5193F23, VolumeContainer
BAEF8859, VolumeContainmentProperty
E4A75A61, WaitForBoltAction
125279F6, WaitForBoltActionTemplate
A9C31580, WanderController
DB4C88A6, WatcherAction
648CABC5, WatcherActionTemplate
7322D79D, WaterManager
D83A290F, WaterTest
37322596, WaterTestAppearance
7CFD52E5, WaypointData
7FCEFFC0, WaypointDataBase
AD786B15, WeaponObject
94934B9, WingDynamics
3D643E1, YawSkeletalAnimation
8052EF4F, YawSkeletalAnimationTemplate
99908C5F, ZeroTranslationTransformModifier
321DACDE, ZoneMapObject
8C5A6BE2, UseLightningAction
A61A0E7D, UseLightningActionTemplate
E6C85CFB, VectorParam
DC7E3FB0, VehicleHoverDynamics
C5319BF3, VehicleHoverDynamicsClient
1843B7EE, VehicleObject
BB8CAD45, VerifyPlayerNameMessage
F4C498FD, VerifyPlayerNameResponseMessage
9AE247EE, VerifyTradeMessage
A5193F23, VolumeContainer
BAEF8859, VolumeContainmentProperty
E4A75A61, WaitForBoltAction
125279F6, WaitForBoltActionTemplate
A9C31580, WanderController
DB4C88A6, WatcherAction
648CABC5, WatcherActionTemplate
7322D79D, WaterManager
D83A290F, WaterTest
37322596, WaterTestAppearance
7CFD52E5, WaypointData
7FCEFFC0, WaypointDataBase
AD786B15, WeaponObject
94934B9, WingDynamics
3D643E1, YawSkeletalAnimation
8052EF4F, YawSkeletalAnimationTemplate
99908C5F, ZeroTranslationTransformModifier
321DACDE, ZoneMapObject
